"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "Log", "MS SQL", "CSV", "JSON with Comments", "YAML", "XML", "Python", "Shell Script", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\dell\Documents\AqwaValley\docs\sensor-ingest-cycle.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 218
"c:\Users\dell\Documents\AqwaValley\docs\testing-strategy-world-class-plan.md", "Markdown", 0, 732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 1018
"c:\Users\dell\Documents\AqwaValley\docs\users-management-api-world-class-prd-and-implementation-plan.md", "Markdown", 0, 488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 693
"c:\Users\dell\Documents\AqwaValley\drizzle.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\dell\Documents\AqwaValley\drizzle\0000_conscious_gravity.sql", "MS SQL", 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 350
"c:\Users\dell\Documents\AqwaValley\drizzle\0001_lively_stardust.sql", "MS SQL", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\dell\Documents\AqwaValley\drizzle\0002_quota_foundation.sql", "MS SQL", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 161
"c:\Users\dell\Documents\AqwaValley\drizzle\0003_panoramic_barracuda.sql", "MS SQL", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22
"c:\Users\dell\Documents\AqwaValley\drizzle\0004_irrigation_trigger_simulation.sql", "MS SQL", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 116
"c:\Users\dell\Documents\AqwaValley\drizzle\0005_replay_diff_runtime.sql", "MS SQL", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\dell\Documents\AqwaValley\drizzle\0006_remarkable_killraven.sql", "MS SQL", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 118
"c:\Users\dell\Documents\AqwaValley\drizzle\0007_groovy_run_discriminator.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\dell\Documents\AqwaValley\drizzle\0008_aquifer_forecast_foundation.sql", "MS SQL", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 208
"c:\Users\dell\Documents\AqwaValley\drizzle\0009_aquifer_lineage_and_eligibility.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\dell\Documents\AqwaValley\drizzle\0010_email_audit_provider_message_id_index.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\Documents\AqwaValley\drizzle\0011_irrigation_session.sql", "MS SQL", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\dell\Documents\AqwaValley\drizzle\0011_reporting_engine_foundation.sql", "MS SQL", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"c:\Users\dell\Documents\AqwaValley\drizzle\0012_melted_marten_broadcloak.sql", "MS SQL", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 213
"c:\Users\dell\Documents\AqwaValley\drizzle\0013_audit_log_append_only.sql", "MS SQL", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\dell\Documents\AqwaValley\drizzle\0014_user_notification_preferences.sql", "MS SQL", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0000_snapshot.json", "JSON", 0, 0, 2642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2643
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0001_snapshot.json", "JSON", 0, 0, 2914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2914
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0003_snapshot.json", "JSON", 0, 0, 4085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4085
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0006_snapshot.json", "JSON", 0, 0, 5054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5054
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\0012_snapshot.json", "JSON", 0, 0, 6797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6797
"c:\Users\dell\Documents\AqwaValley\drizzle\meta\_journal.json", "JSON", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\dell\Documents\AqwaValley\eslint.config.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 62
"c:\Users\dell\Documents\AqwaValley\next.config.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 46
"c:\Users\dell\Documents\AqwaValley\package-lock.json", "JSON", 0, 0, 16393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16394
"c:\Users\dell\Documents\AqwaValley\package.json", "JSON", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 105
"c:\Users\dell\Documents\AqwaValley\playwright.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dell\Documents\AqwaValley\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 8984, 0, 0, 0, 0, 0, 0, 0, 2358, 11342
"c:\Users\dell\Documents\AqwaValley\postcss.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\dell\Documents\AqwaValley\prettier.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\dell\Documents\AqwaValley\public\svg\alert-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dell\Documents\AqwaValley\public\svg\map-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dell\Documents\AqwaValley\public\svg\oasis-marker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\dell\Documents\AqwaValley\scripts\backfill-quotas.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 85
"c:\Users\dell\Documents\AqwaValley\scripts\baseline-drizzle-migrations.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 98
"c:\Users\dell\Documents\AqwaValley\scripts\env-loader.mjs", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\dell\Documents\AqwaValley\scripts\inspect-api-key.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"c:\Users\dell\Documents\AqwaValley\scripts\inspect-crops-db.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 58
"c:\Users\dell\Documents\AqwaValley\scripts\localize_crops.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 75
"c:\Users\dell\Documents\AqwaValley\scripts\mock-simulator.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 31, 229
"c:\Users\dell\Documents\AqwaValley\scripts\qstash-cron.config.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\dell\Documents\AqwaValley\scripts\seed.ts", "TypeScript", 1102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 105, 1222
"c:\Users\dell\Documents\AqwaValley\scripts\setup-timescaledb.mjs", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\dell\Documents\AqwaValley\scripts\setup-timescaledb.sql", "MS SQL", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 65
"c:\Users\dell\Documents\AqwaValley\scripts\sync-qstash-cron.ts", "TypeScript", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43, 288
"c:\Users\dell\Documents\AqwaValley\scripts\test-forecast-integration.ts", "TypeScript", 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51, 367
"c:\Users\dell\Documents\AqwaValley\scripts\test-irrigation-trigger-api.ts", "TypeScript", 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55, 388
"c:\Users\dell\Documents\AqwaValley\scripts\test-irrigation.ts", "TypeScript", 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 71, 604
"c:\Users\dell\Documents\AqwaValley\scripts\test-openrouter.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"c:\Users\dell\Documents\AqwaValley\scripts\test-replay-diff-wrapper.mjs", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 44
"c:\Users\dell\Documents\AqwaValley\scripts\test-replay-diff.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 133
"c:\Users\dell\Documents\AqwaValley\scripts\test-reporting-integration.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 214
"c:\Users\dell\Documents\AqwaValley\scripts\test-user-provisioning.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 123
"c:\Users\dell\Documents\AqwaValley\scripts\verify-timescaledb.mjs", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774904850189.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774905198753.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry-wizard-installation-error-1774905551874.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dell\Documents\AqwaValley\sentry.edge.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 21
"c:\Users\dell\Documents\AqwaValley\sentry.server.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 20
"c:\Users\dell\Documents\AqwaValley\src\__tests__\ai\ai-contracts.test.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 102
"c:\Users\dell\Documents\AqwaValley\src\__tests__\auth\role-scope-enforcement.test.ts", "TypeScript", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 65, 427
"c:\Users\dell\Documents\AqwaValley\src\__tests__\email\email-notification-contracts.test.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 67
"c:\Users\dell\Documents\AqwaValley\src\__tests__\fao56\fao56-et0-calculation.test.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 43, 289
"c:\Users\dell\Documents\AqwaValley\src\__tests__\forecast\forecast-plausibility-contract.test.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 72
"c:\Users\dell\Documents\AqwaValley\src\__tests__\ingest\duplicate-reading-idempotency.test.ts", "TypeScript", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 45, 283
"c:\Users\dell\Documents\AqwaValley\src\__tests__\ingest\ingest-authorization-scope.test.ts", "TypeScript", 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 45, 374
"c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\db\audit-immutability.test.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 73
"c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\db\demo-cron-isolation.test.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 74
"c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\db\timescale-aggregation.test.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\services\ingest-orchestration.test.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 179
"c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\services\quota-decision.test.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 182
"c:\Users\dell\Documents\AqwaValley\src\__tests__\quota\quota-hard-block-boundary.test.ts", "TypeScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 34, 234
"c:\Users\dell\Documents\AqwaValley\src\__tests__\reporting\reporting-contracts.test.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 152
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\AiNeuralPulse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 5, 13, 76
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\AiPlanClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 611, 0, 0, 38, 65, 714
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\PlanHistorySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 15, 148
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 6, 45
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 7, 52
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\crop-history-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 6, 102
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\crop-profile-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 6, 21, 238
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\water-req-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 5, 98
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 3, 9, 78
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\_components\AiRecommendationCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 5, 64
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\_components\KpiCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 4, 9, 179
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\_components\QuotaBarCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 3, 9, 114
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\_components\SoilHumidityCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\_components\WeeklyTrendCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 8, 131
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 6, 36
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 11, 21, 194
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\_components\history-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 8, 127
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\_components\irrigation-history-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 2, 7, 203
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 3, 3, 72
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 8, 14, 133
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\_components\IrrigateClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 0, 0, 30, 54, 640
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 3, 47
"c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
